image_path,gt_bucket,n_visible_fruitbodies,n_boxes_ok,n_fn_missed,n_fp_extra,notes
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390516078_715458271.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\146341482_251573648.jpg,TOXIC,4,5,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\94295332_156406987.jpg,INEDIBLE,3,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387664208_709898954.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391697535_717759599.jpg,INEDIBLE,1,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\191963219_336885922.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\373682877_682938400.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\378903257_693031077.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\132536076_225687539.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\184885651_322791113.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\249853947_446725052.jpg,INEDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382764146_700496068.jpg,TOXIC,6,4,2,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\181894325_317041389.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\258407231_463616751.jpg,INEDIBLE,3,5,0,2,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\241492277_430401729.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389517677_713499301.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\385295750_705353606.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\374620735_684755777.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\309894327_559264255.jpg,TOXIC,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390838797_716092628.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\310207619_559842370.jpg,INEDIBLE,2,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\243763258_434717163.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\386630922_707916226.jpg,INEDIBLE,3,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\293382624_528049260.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\384910569_704628637.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391533046_717437755.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\170990228_296657329.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\240217026_427937953.jpg,TOXIC,2,1,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390850908_716104906.jpg,INEDIBLE,1,1,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\327886031_594077075.jpg,TOXIC,7,7,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\392307791_718941022.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\263141951_472673110.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\380389746_695896613.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\386992050_708601945.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\274142784_492891067.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\137347930_234559070.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\246362131_439792239.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\295080890_531193983.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\323024947_584452325.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387879651_710320750.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\335433535_609362105.jpg,TOXIC,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\212764523_375993652.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389164239_712812985.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388794631_712117136.jpg,EDIBLE,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\190937433_334836212.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390843064_716090702.jpg,TOXIC,5,4,1,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\383668517_702236693.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\95791526_159066733.jpg,INEDIBLE,3,4,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387312793_709221737.jpg,INEDIBLE,7,8,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\138773066_237239621.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389715765_713884408.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\333471232_605421053.jpg,EDIBLE,5,6,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\328314092_594896401.jpg,TOXIC,1,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\187940662_328783270.jpg,INEDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\347974891_634556467.jpg,EDIBLE,2,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\295525916_532023382.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\267448682_480632079.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\272223439_489740494.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\392359280_719043022.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\379756402_694614182.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382676448_700326163.jpg,INEDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391361623_717098237.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\316107050_571112634.jpg,TOXIC,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\377699455_690718581.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\62985090_101011778.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\139853348_239287119.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\231907725_411944038.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390325590_715080653.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\322930451_584271581.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\348191427_634983113.jpg,INEDIBLE,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\385940402_706597190.jpg,INEDIBLE,3,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\248757339_444548561.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\313702866_566526689.jpg,EDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387192471_709003394.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389107596_712706556.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\321897414_582216009.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\365299748_666939464.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\392106026_718539163.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387889262_710340017.jpg,INEDIBLE,2,2,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391566202_717502692.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\377664473_690652515.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\330855028_600056442.jpg,INEDIBLE,5,4,2,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\377941215_691186848.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\338989463_616567956.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382146239_699310744.jpg,INEDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388805222_712134889.jpg,EDIBLE,1,5,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390610020_715635150.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390401974_715230913.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\328594624_595467630.jpg,EDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\244660060_436455289.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\186137729_325224778.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\269862392_485261991.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389935015_714317666.jpg,INEDIBLE,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\295769474_532485866.jpg,TOXIC,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389127667_712752039.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\328055507_594386711.jpg,TOXIC,2,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\239047336_425674582.jpg,TOXIC,4,3,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389670439_713796417.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389426354_713316478.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\332456682_603348695.jpg,INEDIBLE,4,4,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\381194328_697466929.jpg,TOXIC,8,9,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\136460737_232996541.jpg,INEDIBLE,6,4,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\191791700_336547251.jpg,TOXIC,3,2,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\191770251_336504282.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\392342476_719008100.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391698024_717760553.jpg,INEDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\364855092_666085883.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\146570047_252017803.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\174542520_303233974.jpg,INEDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\392115680_718558122.jpg,INEDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\313525005_566197032.jpg,EDIBLE,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\371888612_679510726.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\380471368_696067199.jpg,INEDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\176473041_306803107.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391703583_717771590.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\376896720_689145269.jpg,TOXIC,4,4,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\325095322_588544326.jpg,EDIBLE,1,4,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390596046_715609392.jpg,INEDIBLE,3,2,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387332924_709260012.jpg,EDIBLE,3,2,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\383991496_702857755.jpg,INEDIBLE,2,2,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\384232395_703327830.jpg,TOXIC,2,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\137278804_234426858.jpg,TOXIC,4,4,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\186203433_325350756.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388182380_710911263.jpg,TOXIC,3,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390616571_715648431.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\378309102_691893224.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390511580_715449388.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\261914850_470628180.jpg,INEDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389673892_713802825.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390526469_715476593.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\380916565_696944566.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\191393205_335750019.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388376824_711299584.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\324301521_586947400.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382819645_700601785.jpg,INEDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391985556_718309511.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389922961_714294995.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\8687644_11642950.jpg,TOXIC,7,7,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389522819_713509449.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\188017764_328948464.jpg,INEDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\381665263_699459687.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\378767982_692770181.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382167766_699354065.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\314361828_567792995.jpg,TOXIC,9,1,8,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\269181995_483955619.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\383937767_702756581.jpg,INEDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388094415_710745399.jpg,EDIBLE,2,1,1,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390061418_714640667.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\108320528_182353228.jpg,TOXIC,7,7,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\247008531_441071785.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\386268890_707226740.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\146766332_252405966.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\348461673_635521990.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\325677305_589702636.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\384975947_704753497.jpg,EDIBLE,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\386504075_707676779.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\316161706_571183457.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\192354780_337656193.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382468577_699932287.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\137627919_235091656.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387838430_710236313.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388435495_711411209.jpg,EDIBLE,3,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\64994430_104571655.jpg,EDIBLE,4,2,2,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\262850337_472089737.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\234911396_417691093.jpg,EDIBLE,4,3,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\271084616_487580287.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391721282_717806564.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\93830284_155567071.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\379619100_694420936.jpg,EDIBLE,1,4,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\378980163_693186877.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\328011500_594288614.jpg,TOXIC,3,5,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389359011_713190874.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389943834_714335479.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\269045342_483686073.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387139302_709171245.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388290098_711126777.jpg,EDIBLE,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\336806656_612130187.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\386885151_708402351.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391753137_717865352.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\240217322_427938536.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\138983017_237627460.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390065512_714571541.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\354712263_647042094.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\143567823_246237720.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\137679331_235184694.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\327771465_593854381.jpg,TOXIC,5,6,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389123164_712732591.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390398748_715225447.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\383719113_702330543.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389636564_713730887.jpg,TOXIC,1,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391990736_718319700.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388497861_711533211.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\277130417_497623481.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\388764317_712055042.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\369701855_675332415.jpg,TOXIC,6,6,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\93943296_155770245.jpg,INEDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\191767322_336498456.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391391046_717157386.jpg,INEDIBLE,3,1,2,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\386093794_706888298.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\323518772_585397586.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\387571783_709721244.jpg,EDIBLE,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\381616386_698289972.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390798198_716004930.jpg,EDIBLE,1,5,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390021664_714487460.jpg,INEDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\67206793_108525732.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\210480959_372279601.jpg,TOXIC,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\379188092_693584827.jpg,TOXIC,3,2,2,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\384822093_704509504.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\384257185_703373052.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391338975_717058450.jpg,EDIBLE,2,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\192272143_337494628.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382654293_700283552.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\147216166_253279201.jpg,TOXIC,3,2,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\188017764_328948514.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\369579999_675094244.jpg,INEDIBLE,7,7,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\151853382_263041057.jpg,EDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\188982542_330926679.jpg,EDIBLE,2,1,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\327773149_593857544.jpg,TOXIC,2,1,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\379845608_694856544.jpg,TOXIC,3,3,0,0,
